index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.25,1.0,4.1,1.0078933333333333
1,0.6666666666666666,1.0,4.128,1.407871111111111
2,0.6666666666666666,1.0,4.066,1.4081511111111111
3,0.6666666666666666,1.0,4.066,1.4081511111111111
4,0.6666666666666666,1.0,4.112,1.4094711111111111
5,0.6666666666666666,1.0,4.098000000000001,1.410871111111111
6,0.6666666666666666,1.0,4.093999999999999,1.410951111111111
7,0.6666666666666666,1.0,4.145999999999999,1.406071111111111
8,0.6666666666666666,1.0,4.05,1.406551111111111
9,0.6666666666666666,1.0,4.095999999999999,1.4110711111111112
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,0.8,4.101999999999999,1.0745437908496729
1,0.6666666666666666,1.0,4.087999999999999,1.1907908496732025
2,0.6666666666666666,1.0,4.101999999999999,1.1921908496732023
3,0.6666666666666666,1.0,4.116,1.1935908496732024
4,0.6666666666666666,1.0,4.119999999999999,1.1935908496732026
5,0.6666666666666666,1.0,4.12,1.1935908496732026
6,0.6666666666666666,1.0,4.117999999999999,1.1937908496732024
7,0.6666666666666666,1.0,4.118,1.1937908496732026
8,0.6666666666666666,0.8,4.186,1.069343790849673
9,0.6666666666666666,0.8,4.11,1.075343790849673
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.1259999999999994,1.278994688057041
1,0.6666666666666666,1.0,4.08,1.280754688057041
2,0.6666666666666666,1.0,4.086,1.281354688057041
3,0.6666666666666666,1.0,4.09,1.281754688057041
4,0.6666666666666666,1.0,4.0920000000000005,1.281954688057041
5,0.6666666666666666,1.0,4.093999999999999,1.282154688057041
6,0.6666666666666666,1.0,4.134,1.278194688057041
7,0.6666666666666666,1.0,4.087999999999999,1.281554688057041
8,0.6666666666666666,0.8,4.088,1.1639076292335115
9,0.6666666666666666,1.0,4.064,1.279154688057041
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.029999999999999,1.2255333333333334
1,0.6666666666666666,1.0,4.146,1.2295333333333331
2,0.6666666666666666,1.0,4.14,1.2301333333333333
3,0.6666666666666666,1.0,4.0920000000000005,1.2317333333333336
4,0.6666666666666666,1.0,4.118,1.232333333333333
5,0.6666666666666666,1.0,4.101999999999999,1.2327333333333335
6,0.6666666666666666,1.0,4.109999999999999,1.2331333333333332
7,0.6666666666666666,1.0,4.106,1.2331333333333334
8,0.6666666666666666,1.0,4.1,1.2325333333333335
9,0.6666666666666666,1.0,4.136,1.2305333333333333
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.0920000000000005,1.3597860606060608
1,0.6666666666666666,1.0,4.108,1.3598260606060608
2,0.6666666666666666,1.0,4.106,1.3600260606060608
3,0.6666666666666666,1.0,4.096,1.3601860606060607
4,0.6666666666666666,1.0,4.104,1.3602260606060608
5,0.6666666666666666,1.0,4.102,1.3604260606060607
6,0.6666666666666666,1.0,4.101999999999999,1.3604260606060607
7,0.6666666666666666,1.0,4.1,1.3605860606060607
8,0.6666666666666666,0.8,4.112,1.2260927272727273
9,0.6666666666666666,1.0,4.08,1.3585860606060607
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.093999999999999,1.1906266666666665
1,0.6666666666666666,1.0,4.098,1.1910266666666665
