index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.25,1.0,4.09,1.008196601230589
1,0.6666666666666666,1.0,4.0520000000000005,1.4100465540254583
2,0.6666666666666666,1.0,4.086,1.410876713220692
3,0.6666666666666666,1.0,4.101999999999999,1.4112673763713905
4,0.6666666666666666,1.0,4.122,1.4117557053097634
5,0.6666666666666666,1.0,4.1419999999999995,1.4122440342481362
6,0.6666666666666666,1.0,4.144,1.4122928671419734
7,0.6666666666666666,0.8,4.102,1.2779340430380572
8,0.6666666666666666,1.0,4.044,1.4098512224501092
9,0.6666666666666666,1.0,4.072,1.4105348829638311
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,0.8,4.106,1.0758523872556953
1,0.6666666666666666,1.0,4.08,1.1928680716256066
2,0.6666666666666666,1.0,4.096,1.19325660975091
3,0.6666666666666666,1.0,4.119999999999999,1.1938394169388653
4,0.6666666666666666,1.0,4.13,1.1940822532671802
5,0.6666666666666666,1.0,4.1419999999999995,1.1943736568611578
6,0.6666666666666666,1.0,4.146,1.1944707913924837
7,0.6666666666666666,1.0,4.151999999999999,1.1946164931894725
8,0.6666666666666666,0.8,4.072,1.0750267437394254
9,0.6666666666666666,1.0,4.136,1.194227955064169
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.0600000000000005,1.28133936003203
1,0.6666666666666666,1.0,4.076,1.2817301567688772
2,0.6666666666666666,1.0,4.081999999999999,1.281876705545195
3,0.6666666666666666,1.0,4.106,1.2824629006504658
4,0.6666666666666666,1.0,4.11,1.2825605998346776
5,0.6666666666666666,1.0,4.17,1.2840260875978549
6,0.6666666666666666,0.6,4.1,1.0470222342270892
7,0.6666666666666666,1.0,4.064,1.2814370592162418
8,0.6666666666666666,1.0,4.044,1.2809485632951827
9,0.6666666666666666,1.0,4.13,1.2830490957557368
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.0840000000000005,1.2327491074326518
1,0.6666666666666666,1.0,4.104,1.2332359623498865
2,0.6666666666666666,1.0,4.112,1.2334307043167803
3,0.6666666666666666,1.0,4.116,1.2335280753002271
